form_record_id,parent_form_id,parent_field_id,parent_record_id,Date,Observation Method,Cubs#,Cub Age Class,LitterID,Year Summary,Cubs observed at end,Cubs
rec-46c7cc7280b24046884ebed2149c7303,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-d92741d029e74e6d846d96c59b725c81,2020-06-01,Visual,2,1YO,1,,2,Polly
rec-5de68421d01749889d54a94c4cf9ff7f,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-d92741d029e74e6d846d96c59b725c81,2021-05-14,Visual,2,2YO,1,,,Polly
rec-8afd2cdfe27a4311afdf37d34bf37f1e,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-d92741d029e74e6d846d96c59b725c81,2021-05-17,ExpertOpinion,1,2YO,1,,1,Polly
rec-96c9c1d114374072883d45c4609a297f,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-b04d8bc8cc6f45e5bd461a3d95d1d6f4,2018-10-02,Capture,0,,,,,Rachel
rec-e86d4a32624d405d943b0a276c4a06fd,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-b04d8bc8cc6f45e5bd461a3d95d1d6f4,2019-05-08,Aerial,0,,,,,Rachel
rec-974ad290bd474e4e90fed4406549f34d,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-b04d8bc8cc6f45e5bd461a3d95d1d6f4,2019-07-08,Aerial,0,,,,,Rachel
rec-e7876eedee0c47139c8dea000c6d64db,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-b04d8bc8cc6f45e5bd461a3d95d1d6f4,2020-09-05,Capture,0,,,,,Rachel
rec-f3ad64f23c8642c5aa443da6307c1475,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-b04d8bc8cc6f45e5bd461a3d95d1d6f4,2021-05-13,Aerial,0,,,,,Rachel
rec-8a2cc88b81644630ac8ee6f0f50d5001,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-b04d8bc8cc6f45e5bd461a3d95d1d6f4,2022-05-24,Visual,0,,,,,Rachel
rec-cf5ca55cc8c6452798f8616c69d7670c,frm-84db6ec7769648989eee6dfc4c56ce0b,fld-c1b3c96714c54fb2b0783431bf22d5f7,rec-cb252cb7d94949998adfbbe352b2efbe,2022-09-22,Capture,0,,,,,Sandy
