form_record_id,parent_form_id,parent_field_id,parent_record_id,Sample Type,Sample Barcode,Sample Label
rec-a3b121e4bd42400a89ec90004016065d,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-9021e6adc3b1421b9fcd07c052e98e5e,Hair,14678,cl-EV247
rec-87d0139252ad417f9f116f5796d6641b,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-9021e6adc3b1421b9fcd07c052e98e5e,Tissue,14679,cl-EV248
rec-d93e9e6be8d747c183d42c98ea28bb3b,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-9021e6adc3b1421b9fcd07c052e98e5e,Tooth,14680,cl-EV249
rec-c38a75448a2a4d2983fa7b31c793cdbe,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-2602f48d89b4422cb64b4e33ec60a233,Hair,14691,cl-EV255
rec-02fc1004b2424b82844cf39acb244c93,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-2602f48d89b4422cb64b4e33ec60a233,Hair,14706,cl-EV256
rec-af18e25ace8d473eb22e5371e16149d8,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-2602f48d89b4422cb64b4e33ec60a233,Tissue,14722,cl-EV257
rec-a53f4784f9e94b3f954de3479b7c601b,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-2602f48d89b4422cb64b4e33ec60a233,Tooth,14723,cl-EV258
rec-a2ee3b1aa1a64366abb66991d9c5bb88,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-e80d20cbb7e04c75b192ae1c60bad5c2,Hair,13907,cl-EV269
rec-b2bb76cc3ebf498b996b4ea56ef5e3ab,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-be20333c8bde440db872149cf202048e,Hair,,cl-EV267
rec-c4f7124efec945b2beb0f1ebeeb2507d,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-a5ab51f95ab94c9da3bf0df273ab9b57,Hair,,cl-EV268
rec-78e4bbb2eb62411d8f55acc73d08f275,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-07f6734ccfe14f41833c5056512be6ec,Hair,1409,cl-EV286
rec-1917a11a0eaf41248d4a46a62c578141,frm-a596bdf78a3f453ca12ae050c04e5faf,fld-5c5ec20f701747a099bf22eeab163484,rec-07f6734ccfe14f41833c5056512be6ec,Hair,1410,cl-EV287
